amount,benefit,description_1,description_2,format,link,name,price,property_1,property_2,property_3,property_4,property_5,raters,rating,temperature,time
"2,5g/250ml",hierba,"exquisita mezcla de naranja, hibisco, rosa mosqueta y sabor natural a naranja. de sabor dulce, y al mismo tiempo picante. buen equilibrio entre la sequedad de la piel de naranja y la jugosidad de la fruta. rica fuente de vitaminas, minerales y antioxidantes.","naranja, hibisco, rosa mosqueta y sabor natural a naranja.",60 gramos,https://adagio.cl/products/ruby-orange,ruby orange,Agotado,antioxidante,sin-cafeina,,,,1,5,100 celsius,5 min
"2,5g/250ml",negro,"te negro descafeinado de ceylan, trozos de coco, confeti de fantasma y sabor natural a caramelo.","te negro descafeinado de ceylan, trozos de coco, confeti de fantasma y sabor natural a caramelo.",57 gramos,https://adagio.cl/products/ghost-drink,ghost drink,5990,energizante,sin-cafeina,,,,1,5,100 celsius,3 min
,,"almacena el te de forma conveniente y segura en nuestros tarros metalicos. su pestillo facil de ajustar asegura un sello hermetico y meses de frescura para el producto, mientras que la cubierta transparente, que bloquea los rayos uv. capacidad: 8oz",elige tu te favorito y guardalo en tu tarro metalico de color. estaras almacenandolo de forma segura.,,https://adagio.cl/products/tarro-grande-negro,tarro grande negro,2490,,,,,,2,3.5,,
,,infusor de goma con rejilla de acero inoxidable. facil y comodo para preparar tus tes favoritos.,"echar la cantidad recomendada de te en el infusor, tapar. en una taza poner agua a la temperatura indicada y esperar el tiempo recomendado. retirar el infusor y disfrutar.",grafito,https://adagio.cl/products/infusor-de-goma-grafito,infusor de goma grafito,4990,,,,,,1,5,,
"2,5g/250ml",negro,"te negro confeti verde, ojos de caramelo y sabor natural a crema y caramelo.","te negro confeti verde, ojos de caramelo y sabor natural a crema y caramelo.",57 gramos,https://adagio.cl/products/monster-mash,monster mash,5990,energizante,,,,,1,3,100 celsius,3 min
,,infusor de goma con rejilla de acero inoxidable. facil y comodo para preparar tus tes favoritos.,"echar la cantidad recomendada de te en el infusor, tapar. en una taza poner agua a la temperatura indicada y esperar el tiempo recomendado. retirar el infusor y disfrutar.",estrella salmon,https://adagio.cl/products/infusor-de-goma-estrella-salmon,infusor de goma estrella salmon,4990,,,,,,2,5,,
"2,5g/250ml",verde,"dale energia y salud a tu cuerpo, dale power up! esta mezcla de variedades de te verde y hierbas es perfecta para disfrutar de todas las propiedades antioxidantes y digestivas del te verde con el rico aporte de vitaminas y minerales de hierbas como el rooibos y la hoja de frambuesa. el aporte de toronjil y manzanilla, convierte a esta mezcla de tes y hierbas en un aliado ideal para las molestas nauseas y dolores estomacales.","te verde, rooibos, te de jazmin, te verde frambuesa, hojas de frambuesa, hinoja, flores de manzanilla y escencia de limon.",57 gramos,https://adagio.cl/products/power-up,power up,5990,antioxidante,digestion,,,,,,100 celsius,5 min
,,taza de doble vidrio borosilicato con borde dorado.,preparar te con alguna tetera adagio y echarlo en tu doble vidrio  disfruta!,grande,https://adagio.cl/products/taza-doble-vidrio-borde-dorado-grande,taza doble vidrio borde dorado grande,Agotado,,,,,,6,4.7,,
"2,5g/250ml",verde,"la combinacion perfecta de te verde -y su gran poder antioxidante, diuretico y fortalecedor del sistema inmune- con manzana, rosa y lychee, una fruta roja muy apreciada en china no solo por su sabor agridulce, sino tambien, por sus multiples propiedades antiinflamatorias y vasodilatadoras. rica en vitamina c, b y minerales.","te verde, trozos de manzana, petalos de rosa, sabor natural a lychee y rosa.",60 gramos,https://adagio.cl/products/sunrise,sunrise,Agotado,antioxidante,digestion,,,,1,5,100 celsius,5 min
"2,5g/250ml",verde,"uno de nuestros tes mas populares! una mezclar rica en antioxidantes, diuretica, depurativa y que ayuda a reducir el estres. un balance perfecto entre lo acido y lo dulce de las frambuesas, con el toque fresco del te verde. una combinacion aromatica y sabrosa.","te verde, frambuesas, petalos de rosas y esencia natural de frambuesa",15 piramides,https://adagio.cl/products/verde-frambuesa-teabags,verde frambuesa teabags,Agotado,,,,,,,,80 celsius,2-3 min
"2,5g/250ml",,"uno de nuestros tes mas populares! una mezcla rica en antioxidantes, diuretica, depurativa y que ayuda a reducir el estres.un balance perfecto entre lo acido y lo dulce de las frambuesas, con el toque fresco del te verde. una combinacion aromatica y sabrosa.","te verde, frambuesas, petalos de rosas y esencia natural de frambuesa",15 teabags,https://adagio.cl/products/caja-15-verde-frambuesa,caja 15 teabags verde frambuesa,5990,antioxidante,digestion,,,,1,5,80 celsius,2-3 min
"2,5g/250ml",,"uno de nuestros tes mas populares! una mezclar rica en antioxidantes, diuretica, depurativa y que ayuda a reducir el estres.un balance perfecto entre lo acido y lo dulce de las frambuesas, con el toque fresco del te verde. una combinacion aromatica y sabrosa.","te verde, frambuesas, petalos de rosas y esencia natural de frambuesa",70 gramos,https://adagio.cl/products/verde-mango-tarro,verde frambuesa tin,6990,antioxidante,digestion,,,,1,3,80 celsius,2-3 min
"2,5g/250ml",amarillo,"te amarillo proviente de las montanas neblinosas del monte meng en china, lugar donde el cultivo del te se remonta a la dinastia han, hace mas de dos milenios. considerado un te de tributo imperial durante la dinastia tang, el meng ding huang ya se caracteriza por su cosecha manual que comienza a fines de febrero.",te amarillo,43 gramos,https://adagio.cl/products/meng-ding-huang-ya,meng ding huang ya,19990,antioxidante,,,,,1,5,75 celsius,2-3 min
"2,5g/250ml",verde,"te verde proveniente de japon. uno de los mas famosos y finos de entre los tes verdes, destaca por la pureza y juventud de sus hojas protegidas al sol durante varias semanas. este proceso ralentiza el crecimiento permitiendo que las hojas de te adquieran mas profundidad y sabor, resultando un te verde con hermosas hojas largas y delgadas de un verde intenso que refleja su alta composicion en aminoacidos como la l-theanina.el aroma seco del sincha gyokuro es de nueces confitadas y hierbas dulces. la infusion es de color amarillo verdoso claro y tiene notas notas de hierba bajo el delicado unami de nuez. la taza termina con una suave frescura de sutiles toques de flores de guisantes dulces. taza de te energizante pero a la vez relajante.",te verde,43 gramos,https://adagio.cl/products/shincha-gyokuro,shincha gyokuro,29990,antioxidante,,,,,2,5,70 celsius,2 min
"2,5g/250ml",oolong,"con los pies en la tierra. literalmente. el segundo signo del zodiaco es un signo de tierra que imprime en los nacidos entre el 19 de abril y 20 de mayo un caracter decidido, firme y pragmatico que los hace ser personas muy seguras de si mismas y con gran fuerza de voluntad.  de ideas fijas, buscan la estabilidad en la vida. necesitan sentirse seguros a la hora de actuar y es dificil hacerlos cambiar de parecer. por eso necesitan recurrir a productos que les ayuden a encontrar el foco y la calma para llevar a cabo esos proyectos e ideas que tienen en mente. el te tauro mezcla de oolong con te blanco y frutas sin duda los ayudara a encontrar esa serenidad pero a la vez diligencia para moverse en la vida.*no disponible con codigos de descuentos. *exclusivo online","te oolong, bai mu dan, silver needle, flor de calendula, trozos de manzana, damasco y sabor natural a durazno.",57 gramos,https://adagio.cl/products/tauro,tauro,5990,antioxidante,,,,,4,4.3,100 celsius,3-5 min
